Institution,Average net price-students awarded grant or scholarship aid  2020-21,Average net price-students awarded grant or scholarship aid  2019-20,Average net price-students awarded grant or scholarship aid  2018-19,State abbreviation,Sector of institution,Level of institution,Degree-granting status,Institution size category,Institution name,Longitude location of institution,Latitude location of institution,Total price for in-state students living on campus 2021-22,Total price for out-of-state students living on campus 2021-22,Total price for in-state students living off campus (not with family)  2021-22,Total price for out-of-state students living off campus (not with family)  2021-22,Total price for in-state students living off campus (with family)  2021-22,Total price for out-of-state students living off campus (with family)  2021-22,Total price for in-state students living on campus 2020-21,Total price for out-of-state students living on campus 2020-21,Total price for in-state students living off campus (not with family)  2020-21,Total price for out-of-state students living off campus (not with family)  2020-21,Total price for in-state students living off campus (with family)  2020-21,Total price for out-of-state students living off campus (with family)  2020-21,Average net price-students awarded grant or scholarship aid  2017-18,Average net price-students awarded grant or scholarship aid 2016-17,Total price for in-state students living on campus 2019-20,Total price for out-of-state students living on campus 2019-20,Total price for in-state students living off campus (not with family) 2019-20,Total price for out-of-state students living off campus (not with family) 2019-20,Total price for in-state students living off campus (with family) 2019-20,Total price for out-of-state students living off campus (with family) 2019-20,Average net price-students awarded grant or scholarship aid 2015-16,Total price for in-state students living on campus 2018-19,Total price for out-of-state students living on campus 2018-19,Total price for in-state students living off campus (not with family) 2018-19,Total price for out-of-state students living off campus (not with family) 2018-19,Total price for in-state students living off campus (with family) 2018-19,Total price for out-of-state students living off campus (with family) 2018-19,Total price for in-state students living on campus 2017-18,Total price for out-of-state students living on campus 2017-18,Total price for in-state students living off campus (not with family) 2017-18,Total price for out-of-state students living off campus (not with family) 2017-18,Total price for in-state students living off campus (with family) 2017-18,Total price for out-of-state students living off campus (with family) 2017-18,Total price for in-state students living on campus 2016-17,Total price for out-of-state students living on campus 2016-17,Total price for in-state students living off campus (not with family) 2016-17,Total price for out-of-state students living off campus (not with family) 2016-17,Total price for in-state students living off campus (with family) 2016-17,Total price for out-of-state students living off campus (with family) 2016-17,Books and supplies 2021-22,Books and supplies 2020-21,Books and supplies 2019-20,Books and supplies 2018-19,Books and supplies 2017-18,Books and supplies 2016-17,Books and supplies 2015-16,
Villa Maria College,,,,NY,2,1,1,1,Villa Maria College,-78.796823,42.912230,,,35750,35750,29200,29200,,,36400,36400,29850,29850,10374,11307,,,34870,34870,28570,28570,,,,33810,33810,26810,26810,24330,24330,32730,32730,25780,25780,,,31200,31200,24280,24280,0,1100,1100,1100,1100,1050,1000,
Vincennes University,12119,10824,10205,IN,1,1,1,4,Vincennes University,-87.523407,38.686318,21845,30649,21845,30649,10937,19741,21259,29789,21259,29789,10669,19199,,,21012,29302,21012,29302,10422,18712,9922,20202,28259,20202,28259,10212,18269,19685,27515,19685,27515,9983,17813,19035,26644,19035,26644,9703,17312,1278,1276,1298,1298,1286,1274,1248,
Virginia Highlands Community College,6621,6406,6493,VA,4,2,1,2,Virginia Highlands Community College,-82.001118,36.698866,,,14370,20373,11170,17173,,,14370,20373,11170,17173,,,,,15000,21708,11800,18508,6921,,,14310,20238,11110,17038,,,14198,20126,10998,16926,,,14078,19976,10878,16776,1260,1260,1260,1200,1200,1200,1200,
Virginia Military Institute,18100,18583,13428,VA,1,1,1,2,Virginia Military Institute,-79.437067,37.789600,33182,61836,,,,,32420,60430,,,,,,,32034,58878,,,,,16195,31494,58338,,,,,30600,56288,,,,,29610,53919,,,,,1000,1000,1000,1000,1000,1000,1000,
Virginia Peninsula Community College,6109,6506,6879,VA,4,2,1,3,Virginia Peninsula Community College,-76.420046,37.063821,,,21366,27369,10966,16969,,,21366,27369,10966,16969,,,,,20666,26669,10266,16269,6800,,,20666,26594,10266,16194,,,20109,26037,10049,15977,,,19854,25752,9854,15752,2000,2000,1300,1300,1300,1300,1300,
Virginia Western Community College,6400,6453,6663,VA,4,2,1,3,Virginia Western Community College,-79.973011,37.245029,,,17877,23880,10941,16944,,,17877,23880,10941,16944,,,,,17877,23880,10941,16944,6619,,,17877,23805,10941,16869,,,17750,23678,10814,16742,,,17615,23513,10679,16577,1500,1500,1500,1500,1500,1500,1500,
Volunteer State Community College,5723,5839,6181,TN,4,2,1,3,Volunteer State Community College,-86.497127,36.362518,,,21344,34160,8144,20960,,,21272,33848,8072,20648,,,,,21096,33672,8146,20722,6005,,,20894,33182,8390,20678,,,20773,32749,8757,20733,,,20677,32341,8661,20325,1200,1200,1200,1200,1200,1200,1200,
Voorhees College,,,,SC,2,1,1,1,Voorhees College,-81.127863,33.307199,26336,26336,27630,27630,18530,18530,26336,26336,27630,27630,18530,18530,17905,17125,26336,26336,27630,27630,18530,18530,,26336,26336,27630,27630,18530,18530,26336,26336,27630,27630,18530,18530,26336,26336,20605,20605,17379,17379,1500,1500,1500,1500,1500,1500,1500,
Wabash College,,,,IN,2,1,1,1,Wabash College,-86.906000,40.037588,60150,60150,53550,53550,48550,48550,59650,59650,53750,53750,48750,48750,22101,24603,58770,58770,53270,53270,48270,48270,,57250,57250,54550,54550,47200,47200,54600,54600,51875,51875,44750,44750,53150,53150,50450,50450,43550,43550,950,950,1200,1200,1000,1000,1000,
Wabash Valley College,6140,6040,6726,IL,4,2,1,1,Wabash Valley College,-87.778448,38.428890,,,23248,25274,16376,18402,,,22627,24527,16055,17955,,,,,23965,25991,17844,19870,1311,,,18764,20755,12643,14634,,,18764,20755,12643,14634,,,18420,20411,12299,14290,946,946,1300,1300,1300,1300,1000,
Wade College,,,,TX,3,1,1,1,Wade College,-96.819516,32.800854,,,29489,29489,21337,21337,,,28587,28587,20547,20547,16972,18261,,,27899,27899,20011,20011,,,,27125,27125,19381,19381,,,26534,26534,18942,18942,,,29403,29403,21867,21867,0,0,0,0,0,0,0,
Wake Technical Community College,4980,5269,5758,NC,4,2,1,5,Wake Technical Community College,-78.706126,35.650151,,,19168,25312,9168,15312,,,18832,24976,8832,14976,,,,,19168,25312,9168,15312,8771,,,18290,24434,8759,14903,,,18290,24434,8759,14903,,,18290,24434,8759,14903,1800,1572,1500,1500,1500,1500,1500,
Walla Walla Community College,9301,6770,6795,WA,1,1,1,2,Walla Walla Community College,-118.276505,46.078557,,,20432,21932,9576,11076,,,20200,21700,9514,11014,,,,,18300,19800,8742,10242,6945,,,18054,19554,8496,9996,,,18054,19554,8496,9996,,,17803,19270,8244,9711,1000,1000,1000,1000,1000,1000,1000,
Walnut Hill College,,,,PA,3,1,1,1,Walnut Hill College,-75.207490,39.955098,40053,40053,39850,39850,29900,29900,39963,39963,39735,39735,29785,29785,31766,30684,39963,39963,39710,39710,29760,29760,,39938,39938,39685,39685,29710,29710,39363,39363,39660,39660,29660,29660,38560,38560,39610,39610,29660,29660,1650,1560,1560,1560,1560,1560,1550,
Walters State Community College,5048,5000,4130,TN,4,2,1,3,Walters State Community College,-83.262503,36.213179,,,14425,27241,10249,23065,,,14354,27225,10178,23049,,,,,14353,27224,10177,23048,4192,,,12824,25400,9224,21800,,,12728,24992,9128,21392,,,12632,24296,9032,20696,1450,1450,1450,1200,1200,1200,1200,
Warren County Community College,3857,4661,5717,NJ,4,2,1,2,Warren County Community College,-75.018309,40.744812,,,17890,18490,8890,9490,,,17890,18490,8890,9490,,,,,17890,18490,8890,9490,6107,,,17730,18330,10080,10680,,,17340,17940,9690,10290,,,17340,17940,9690,10290,400,400,800,1200,1200,1200,1200,
Washington College,,,,MD,2,1,1,2,Washington College,-76.068780,39.217329,67694,67694,61588,61588,54538,54538,65172,65172,60034,60034,52984,52984,29457,31636,65456,65456,60634,60634,53584,53584,,64542,64542,60028,60028,52978,52978,61010,61010,57870,57870,50820,50820,58506,58506,55532,55532,48482,48482,1500,1500,1500,1400,1400,850,850,
Washington County Community College,6124,5997,5864,ME,4,2,1,1,Washington County Community College,-67.243306,45.165537,13489,16369,15847,18727,9459,12339,13390,17240,15838,19688,9450,13300,,,13324,17108,14292,18076,9384,13168,3616,13262,16984,14230,17952,9322,13044,13176,16812,14144,17780,9236,12872,11059,14578,10199,13718,6919,10438,1400,1400,1400,1400,1400,1000,1000,
Washington State Community College,6190,6232,7245,OH,4,2,1,2,Washington State Community College,-81.433920,39.430824,,,15722,15746,9065,9089,,,14909,14933,9017,9041,,,,,14827,14851,8935,8959,7449,,,14837,14861,8945,8969,,,14923,18259,9031,12367,,,15487,19657,9637,13807,1900,1900,1900,1900,1896,1896,1900,
Washtenaw Community College,2857,2981,2250,MI,4,2,1,4,Washtenaw Community College,-83.665590,42.263610,,,16586,18194,7274,8882,,,16310,17822,7134,8646,,,,,16328,17840,7088,8600,3975,,,15580,16996,7012,8428,,,15180,16524,6860,8204,,,15006,16278,7518,8790,1126,1058,1012,1008,1000,930,930,
Waubonsee Community College,6455,4059,4615,IL,4,2,1,3,Waubonsee Community College,-88.459925,41.795955,,,24700,25505,14831,15636,,,24711,25516,15071,15876,,,,,24272,25005,14897,15630,4428,,,23250,23952,14120,14822,,,22014,22599,13114,13699,,,20914,21499,13064,13649,1600,1600,1600,1616,1584,1584,1560,
Waukesha County Technical College,9929,9714,9892,WI,4,2,1,3,Waukesha County Technical College,-88.256292,43.071444,,,18198,20271,10354,12427,,,18052,20146,10416,12510,,,,,17856,19950,10344,12438,9702,,,17465,19331,10065,11931,,,17340,19206,10040,11906,,,17220,19086,9920,11786,1940,1974,2016,1960,1940,1820,1750,
Wave Leadership College,,,,VA,5,2,1,1,Wave Leadership College,-76.043121,36.864710,15648,15648,13371,13371,9248,9248,,,17491,17491,13544,13544,9566,10501,20338,20338,19587,19587,12644,12644,,18673,18673,18992,18992,11901,11901,18199,18199,18122,18122,12466,12466,,,17232,17232,11576,11576,200,2500,2500,2500,2500,2250,2500,
Wayne Community College,5795,5900,4542,NC,4,2,1,2,Wayne Community College,-77.945873,35.403079,,,17524,23668,7974,14118,,,17315,23459,7834,13978,,,,,17315,23459,7834,13978,7242,,,16765,22909,7834,13978,,,17315,23459,7284,13428,,,17315,23459,7284,13428,1600,1600,1600,1560,1560,1560,1560,
Wayne County Community College District,3709,4776,5012,MI,4,2,1,4,Wayne County Community College District,-83.054497,42.327299,,,14749,15484,8135,8870,,,13499,14234,7813,8548,,,,,13499,14234,7813,8548,5372,,,13195,13930,7621,8356,,,12847,13582,7731,8466,,,12847,13582,7731,8466,1700,1460,1460,1460,1720,1720,1720,
Weatherford College,9117,8463,7601,TX,1,1,1,3,Weatherford College,-97.792629,32.741330,17695,19795,21195,23295,13300,15400,17025,18945,20425,22345,12438,14358,,,18987,20757,17545,19315,11638,13408,6594,17647,19297,16285,17935,11268,12918,15591,17111,15329,16849,9745,11265,15591,17111,15329,16849,9745,11265,1800,1800,1800,1800,1800,1800,1200,
Webb Institute,,,,NY,2,1,1,1,Webb Institute,-73.644909,40.884444,76035,76035,,,,,74330,74330,,,,,20311,20659,72690,72690,,,,,,70825,70825,,,,,69075,69075,,,,,67350,67350,,,,,800,3700,700,700,700,700,700,
Wellesley College,,,,MA,2,1,1,2,Wellesley College,-71.306605,42.291554,81090,81090,64602,64602,64602,64602,78270,78270,62298,62298,62298,62298,20826,20189,75198,75198,59902,59902,59902,59902,,72250,72250,57582,57582,57582,57582,69034,69034,54998,54998,54998,54998,65966,65966,52652,52652,52652,52652,800,800,800,800,800,800,800,
Wells College,,,,NY,2,1,1,1,Wells College,-76.696028,42.742943,49100,49100,49100,49100,35300,35300,48150,48150,48150,48150,34650,34650,20997,23445,46850,46850,47250,47250,33750,33750,,56650,56650,57050,57050,43550,43550,55180,55180,55950,55950,42450,42450,53740,53740,54880,54880,41380,41380,1050,1050,1050,1050,1050,1050,1050,
Wenatchee Valley College,8226,8114,7854,WA,1,1,1,2,Wenatchee Valley College,-120.337198,47.431234,17190,17604,20715,21129,8850,9264,16980,17394,20010,20424,8680,9094,,,16088,16510,19538,19960,8428,8850,7269,14760,15189,18360,18789,8115,8544,14414,14831,18065,18482,7934,8351,14313,14720,17842,18249,7798,8205,930,930,900,870,840,825,1060,
West Coast University-Los Angeles,,,,CA,3,1,1,2,West Coast University-Los Angeles,-118.399410,34.187134,,,54791,54791,45271,45271,,,53185,53185,44575,44575,42038,39031,,,51660,51660,43680,43680,,,,50553,50553,42963,42963,,,50353,50353,42763,42763,,,56646,56646,45226,45226,1803,1525,1490,1388,1388,1721,1568,
West Coast University-Miami,,,,FL,3,1,1,2,West Coast University-Miami,-80.347651,25.810710,,,42325,42325,33235,33235,,,40543,40543,32333,32333,25996,27745,,,38606,38606,31066,31066,,,,36230,36230,29120,29120,,,36359,36359,29249,29249,,,36975,36975,28395,28395,1459,1512,1445,1388,1618,1855,1718,
West Coast University-Ontario,,,,CA,3,1,1,2,West Coast University-Ontario,-117.590035,34.066591,,,54791,54791,45271,45271,,,53185,53185,44575,44575,33931,38904,,,51660,51660,43680,43680,,,,50553,50553,42963,42963,,,50353,50353,42763,42763,,,56646,56646,45226,45226,1803,1525,1490,1388,1388,1721,1568,
West Georgia Technical College,3017,2708,2270,GA,4,2,1,3,West Georgia Technical College,-85.183666,33.691657,,,13245,15645,7671,10071,,,13245,15645,7671,10071,,,,,12902,15302,7516,9916,4125,,,12560,14696,7360,9496,,,13015,15151,6443,8579,,,12941,15077,6369,8505,1219,1219,1170,1247,1358,1358,1358,
West Hills College-Coalinga,11458,8709,9260,CA,4,2,1,2,West Hills College-Coalinga,-120.356747,36.147891,13374,22584,24520,33730,6782,15992,13284,21984,23682,32382,6624,15324,,,14957,22907,23708,31658,8048,15998,8411,14515,24265,21328,31078,7664,17414,14453,23933,20768,30248,7608,17088,14144,20954,19820,26630,7454,14264,1126,1080,1970,1918,1854,1790,1764,
West Hills College-Lemoore,13571,11661,10030,CA,4,2,1,2,West Hills College-Lemoore,-119.823866,36.292431,,,24520,33730,6782,15992,,,23682,32382,6624,15324,,,,,23708,31658,8048,15998,10291,,,21328,31078,7664,17414,,,20768,30248,7608,17088,,,19820,26630,7456,14266,1126,1080,1970,1918,1854,1790,1764,
West Kentucky Community and Technical College,8041,7780,7174,KY,4,2,1,2,West Kentucky Community and Technical College,-88.658762,37.054081,,,16142,26894,8634,19386,,,15584,26336,8434,19186,,,,,15193,25633,8218,18658,7441,,,15073,25225,8098,18250,,,14905,24625,7930,17650,,,14762,24122,7786,17146,1078,1026,1000,1000,1000,1000,1000,
West Los Angeles College,10259,11568,9408,CA,1,1,1,3,West Los Angeles College,-118.386664,34.004512,,,24377,32151,6638,14412,,,23540,30872,6481,13813,,,,,23549,30439,7889,14779,8643,,,21164,27690,7502,14028,,,19634,25952,7142,13460,,,19661,25979,7169,13487,1125,1080,1971,1917,1764,1791,1764,
West Shore Community College,5852,4129,4523,MI,4,2,1,2,West Shore Community College,-86.336122,44.008512,,,13809,15609,9920,11720,,,13689,15369,10376,12056,,,,,13689,15369,9800,11480,3892,,,13702,15046,9382,10726,,,13802,15146,9482,10826,,,13490,14930,9170,10610,1000,1000,1000,1000,1000,1000,1000,
West Valley College,6890,6541,7541,CA,4,2,1,3,West Valley College,-122.008324,37.263980,,,21146,30356,8591,17801,,,23868,31188,7288,14608,,,,,21140,29090,8585,16535,10047,,,21119,24899,8564,12344,,,18571,22627,7195,11251,,,18571,22627,7195,11251,1854,1080,1854,1854,1746,1746,1746,
West Virginia Junior College-Bridgeport,,,,WV,6,2,1,1,West Virginia Junior College-Bridgeport,-80.271826,39.284512,,,28398,28398,19538,19538,,,27952,27952,19206,19206,14608,13288,,,26131,26131,17563,17563,,,,26044,26044,18451,18451,,,25795,25795,18202,18202,,,24209,24209,16897,16897,417,382,290,253,253,214,214,
West Virginia Junior College-Charleston,,,,WV,6,2,1,1,West Virginia Junior College-Charleston,-81.789743,38.422967,,,26537,26537,18756,18756,,,26289,26289,18609,18609,12061,11049,,,25300,25300,17741,17741,,,,23616,23616,17417,17417,,,23423,23423,17224,17224,,,23134,23134,15835,15835,390,385,380,253,253,214,214,
West Virginia Junior College-Morgantown,,,,WV,6,2,1,1,West Virginia Junior College-Morgantown,-79.955006,39.632480,,,28266,28266,19499,19499,,,27385,27385,18728,18728,16572,16225,,,26428,26428,17908,17908,,,,25603,25603,18522,18522,,,25389,25389,18308,18308,,,25015,25015,17485,17485,400,395,384,347,253,214,214,
West Virginia Junior College-United Career Institute,,,,PA,6,2,1,1,West Virginia Junior College-United Career Institute,-79.652374,39.950525,,,23609,23609,16889,16889,,,23362,23362,16728,16728,14387,15241,,,22574,22574,16044,16044,,,,22702,22702,16837,16837,,,23400,23400,17535,17535,,,25049,25049,17551,17551,486,480,446,433,253,214,214,
West Virginia Junior College-United Career Institute,,,,PA,6,2,1,1,West Virginia Junior College-United Career Institute,-79.690734,40.321221,,,26178,26178,17662,17662,,,25328,25328,16922,16922,,,,,25488,25488,17214,17214,,,,,,,,,,,,,,,,,,,,508,502,350,,,,,
West Virginia Northern Community College,4398,4155,4180,WV,4,2,1,2,West Virginia Northern Community College,-80.721263,40.063318,,,13260,20988,8327,16055,,,12973,20557,8040,15624,,,,,12811,20251,7878,15318,3982,,,12763,20059,7830,15126,,,12692,19834,7759,14901,,,12340,19276,7407,14343,1135,1135,1135,1135,1135,1135,1135,
West Virginia University at Parkersburg,10267,8226,7123,WV,1,1,1,2,West Virginia University at Parkersburg,-81.506192,39.216379,,,16090,20842,8890,13642,,,16090,20842,8890,13642,,,,,16090,20842,8890,13642,8121,,,12390,16902,8690,13202,,,12220,16588,8520,12888,,,12052,16588,8352,12888,1500,1500,1500,1500,1500,1500,1500,
West Virginia University Institute of Technology,10966,10151,10502,WV,1,1,1,2,West Virginia University Institute of Technology,-81.184072,37.775924,22876,34444,20008,31576,11428,22996,22574,33926,19840,31192,11260,22612,,,22888,34240,19840,31192,11260,22612,8674,22374,33558,19324,30508,10984,22168,21784,32368,18820,29404,10480,21064,19982,30062,18508,28588,10168,20248,950,950,950,900,900,900,900,
Western Dakota Technical College,13934,15936,13443,SD,4,2,1,2,Western Dakota Technical College,-103.179501,44.076648,,,24082,24082,12882,12882,,,24024,24024,12824,12824,,,,,24004,24004,12804,12804,11631,,,22210,22210,11810,11810,,,23060,23060,12370,12370,,,20798,20798,11690,11690,2200,2200,2200,2200,2500,2300,2450,
Western Iowa Tech Community College,8282,8784,7710,IA,4,2,1,3,Western Iowa Tech Community College,-96.348874,42.482953,17227,17251,17228,17252,10937,10961,17033,17057,17034,17058,10743,10767,,,16523,16547,15624,15648,10233,10257,7849,14325,14349,14815,14839,10452,10476,13862,13886,14293,14317,10284,10308,13862,13886,14293,14317,10284,10308,1200,1320,1320,1320,1320,1224,1224,
Western Nebraska Community College,6756,5488,6083,NE,4,2,1,2,Western Nebraska Community College,-103.642490,41.875705,15162,15258,15032,15128,7998,8094,15047,15071,15047,15071,8013,8037,,,14598,14622,14598,14622,7686,7710,6987,14488,14596,14488,14596,7722,7830,14271,14439,14271,14439,7677,7845,13934,14162,13934,14162,7454,7682,1500,1500,1500,1500,1500,1500,1400,
Western Nevada College,14400,11815,11343,NV,1,1,1,2,Western Nevada College,-119.790360,39.186158,,,23992,31678,10211,17897,,,22876,30353,10076,17553,,,,,20086,27276,9986,17176,10806,,,19618,26531,9518,16431,,,18625,25403,9405,16183,,,18490,25135,9270,15915,1400,1400,1400,1400,1400,1400,1400,
Western Oklahoma State College,7440,7885,8006,OK,4,2,1,2,Western Oklahoma State College,-99.336990,34.669018,18576,22692,19571,23687,11066,15182,17508,21562,19383,23437,10878,14932,,,16672,20736,19067,23131,10562,14626,7391,16622,20686,19067,23131,10562,14626,15838,20987,18283,23432,9778,14927,14641,18705,17666,21730,9161,13225,1600,1600,1600,1600,1600,1300,1300,
Western Piedmont Community College,5965,5093,4914,NC,4,2,1,2,Western Piedmont Community College,-81.687345,35.722876,,,20599,26743,13095,19239,,,18409,24553,11186,17330,,,,,18409,24553,11186,17330,5590,,,17677,23821,10380,16524,,,15334,21478,8432,14576,,,15334,21478,8432,14576,1400,1400,1400,1400,1400,1400,1300,
Western Technical College,10217,9188,9122,WI,4,2,1,2,Western Technical College,-91.246191,43.815309,16902,19017,16902,19017,9930,12045,16760,18844,16760,18844,9972,12056,,,16596,18644,16596,18644,9920,11968,8487,16315,18289,16315,18289,9731,11705,15447,17731,15447,17731,8997,11281,15116,17506,15116,17506,8756,11146,1940,1976,2016,1960,1720,1616,1544,
Western Texas College,4952,6914,7373,TX,4,2,1,2,Western Texas College,-100.914945,32.678458,14772,15732,15976,16936,9650,10610,14579,15539,15686,16646,9470,10430,,,14579,15539,15686,16646,9470,10430,6695,14147,15287,15391,16531,9237,10377,13957,15067,15196,16306,9060,10170,13328,14216,12193,13081,6602,7490,1560,1559,1559,1543,1516,1501,1500,
Western Wyoming Community College,7839,9852,8141,WY,1,1,1,2,Western Wyoming Community College,-109.237126,41.590964,14804,19844,16936,21976,8729,13769,14156,18908,19897,24649,8307,13059,,,14630,20570,20371,26311,10090,16030,7399,11474,15986,17223,21735,8766,13278,11407,15919,17075,21587,8766,13278,9972,14244,14476,18748,7776,12048,1692,1600,1600,1600,1600,1200,1000,
Westminster College,,,,MO,2,1,1,1,Westminster College,-91.955273,38.849354,48982,48982,48982,48982,39732,39732,46992,46992,46992,46992,38230,38230,22091,20181,45088,45088,45088,45088,36600,36600,,42630,42630,42630,42630,34370,34370,40510,40510,40510,40510,32520,32520,38650,38650,38650,38650,30930,30930,1100,1100,1100,1100,1100,1100,1100,
Westmont College,,,,CA,2,1,1,2,Westmont College,-119.662517,34.450151,67030,67030,61110,61110,53060,53060,66220,66220,60630,60630,52580,52580,31945,32699,64240,64240,59044,59044,50494,50494,,62600,62600,57754,57754,49204,49204,60930,60930,56494,56494,48444,48444,59410,59410,55350,55350,47300,47300,1600,1600,1600,1600,1600,1600,1600,
Westmoreland County Community College,4798,5118,5595,PA,4,2,1,2,Westmoreland County Community College,-79.564897,40.234321,,,20612,24602,13412,17402,,,20612,24602,13412,17402,,,,,20468,24458,13268,17258,5814,,,20228,24218,13028,17018,,,20890,24610,13690,17410,,,18610,22270,13110,16770,1600,1600,1600,1600,1600,1200,1200,
Wharton County Junior College,4240,4371,4482,TX,4,2,1,3,Wharton County Junior College,-96.085815,29.323800,13295,14543,15857,17105,9647,10895,12904,14152,15799,17047,9619,10867,,,12786,14034,15556,16804,9476,10724,4482,12711,13959,15481,16729,9401,10649,12606,13854,15346,16594,9266,10514,12301,13069,15136,15904,9056,9824,1381,1375,1350,1325,1300,1245,1240,
Whatcom Community College,9450,7919,8111,WA,1,1,1,2,Whatcom Community College,-122.493253,48.793900,20393,25997,20393,25997,9083,14687,17838,23283,20064,25509,9378,14823,,,17160,22605,19470,24915,9060,14505,7530,16731,22160,18921,24350,8871,14300,16400,21818,18560,23978,8690,14108,16127,21429,17906,23208,8495,13797,942,930,900,870,840,827,827,
Wheaton College (Massachusetts),,,,MA,2,1,1,2,Wheaton College (Massachusetts),-71.183979,41.966637,74850,74850,74850,74850,67410,67410,72744,72744,72744,72744,64276,64276,33151,31814,70664,70664,70664,70664,58068,58068,,68050,68050,68050,68050,56126,56126,65818,65818,65818,65818,54350,54350,63512,63512,63512,63512,52512,52512,940,940,940,940,940,940,940,
White Earth Tribal and Community College,,,,MN,5,2,1,1,White Earth Tribal and Community College,-95.953099,47.317500,21926,21926,21926,21926,14751,14751,,,21588,21588,14413,14413,10829,11313,,,20482,20482,13307,13307,,,,18018,18018,12518,12518,,,17856,17856,10606,10606,,,17856,17856,11856,11856,2200,1970,1200,1200,850,850,850,
White Mountains Community College,14583,14245,13703,NH,4,2,1,1,White Mountains Community College,-71.158535,44.503494,,,23920,32170,13614,21864,,,23920,32170,13614,21864,,,,,24154,32404,13478,21728,14257,,,24587,33387,14300,23100,,,24058,32634,14023,22599,,,23738,31898,13703,21863,1400,1400,1400,1400,1400,1400,1500,
Whitman College,,,,WA,2,1,1,2,Whitman College,-118.331546,46.069815,71982,71982,71982,71982,58182,58182,66408,66408,66408,66408,52608,52608,38109,38144,69532,69532,69532,69532,56020,56020,,68082,68082,68082,68082,54964,54964,64504,64504,64504,64504,51980,51980,61972,61972,61972,61972,50062,50062,1400,1400,1400,1400,1400,1400,1400,
